course,course number,credit hours,section number,crn,start date,end date,type,meeting time start,meeting time end,meeting days,building location,room number,instructors
HDFS,199,1 TO 5 hours.,A4 ,57751,2024-08-26Z,2024-10-18Z,Online,ARRANGED,,,,,Yao L
HDFS,199,1 TO 5 hours.,A5 ,19304,2024-08-26Z,2024-10-18Z,Online,ARRANGED,,,,,Yao L
HDFS,199,1 TO 5 hours.,B2 ,48119,2024-10-21Z,2024-12-11Z,Online,ARRANGED,,,,,Yao L
HDFS,199,1 TO 5 hours.,B3 ,64401,2024-10-21Z,2024-12-11Z,Online,ARRANGED,,,,,Yao L
HDFS,199,1 TO 5 hours.,B4 ,19307,2024-10-21Z,2024-12-11Z,Online,ARRANGED,,,,,Yao L
HDFS,199,1 TO 5 hours.,B5 ,19312,2024-10-21Z,2024-12-11Z,Online,ARRANGED,,,,,Yao L
HDFS,199,1 TO 5 hours.,JK ,77105,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,T      ,Christopher Hall,3,Kramer J
HDFS,199,1 TO 5 hours.,JK ,77105,2024-08-26Z,2024-12-11Z,Laboratory,11:00 AM,12:20 PM,R      ,Christopher Hall,3,Kramer J
HDFS,208,3 hours.,A  ,38775,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,TR     ,Christopher Hall,7,
HDFS,220,3 hours.,A  ,53614,2024-08-26Z,2024-12-11Z,Online Lecture,11:00 AM,12:20 PM,TR     ,,,Kramer K
HDFS,221,3 hours.,A  ,64422,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:45 AM,TR     ,Architecture Building,302,Chih D
HDFS,221,3 hours.,B  ,77103,2024-08-26Z,2024-12-11Z,Lecture-Discussion,05:00 PM,06:15 PM,MW     ,Bevier Hall,242,Balgopal A
HDFS,225,3 hours.,A  ,38776,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,MW     ,Lincoln Hall,1065,Ogolsky B
HDFS,263,3 hours.,A  ,65402,2024-08-26Z,2024-12-11Z,Online,ARRANGED,,,,,Stodolska M
HDFS,290,4 hours.,AE1,46524,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:00 AM,10:50 AM,MW     ,Christopher Hall,7,
HDFS,294,1 TO 4 hours.,,10333,2024-08-26Z,2024-12-11Z,Independent Study,ARRANGED,,,,,
HDFS,295,1 TO 4 hours.,,10336,2024-08-26Z,2024-12-11Z,Independent Study,ARRANGED,,,,,
HDFS,301,4 hours.,A  ,49014,2024-08-26Z,2024-12-11Z,Lecture,09:00 AM,10:50 AM,MW     ,Turner Hall,W109,
HDFS,310,3 hours.,A  ,73741,2024-08-26Z,2024-12-11Z,Lecture,01:00 PM,02:20 PM,MW     ,Christopher Hall,7,Mitchell E
HDFS,320,3 hours.,A  ,76903,2024-08-26Z,2024-12-11Z,Lecture,09:30 AM,10:50 AM,TR     ,Bevier Hall,108,
HDFS,330,3 hours.,A  ,76902,2024-08-26Z,2024-12-11Z,Lecture,02:00 PM,03:20 PM,TR     ,Christopher Hall,7,Lleras C
HDFS,340,3 hours.,A  ,38496,2024-08-26Z,2024-12-11Z,Lecture,11:00 AM,12:20 PM,TR     ,Christopher Hall,7,
HDFS,350,4 hours.,AB1,79718,2024-08-26Z,2024-12-11Z,Laboratory,08:00 AM,11:50 AM,T      ,Child Development Laboratory,109B,Yao L
HDFS,350,4 hours.,AB2,79719,2024-08-26Z,2024-12-11Z,Laboratory,08:00 AM,11:50 AM,W      ,Child Development Laboratory,109B,Yao L
HDFS,350,4 hours.,AB3,79720,2024-08-26Z,2024-12-11Z,Laboratory,08:00 AM,11:50 AM,R      ,Child Development Laboratory,109B,Yao L
HDFS,350,4 hours.,AB4,79721,2024-08-26Z,2024-12-11Z,Laboratory,08:00 AM,11:50 AM,F      ,Child Development Laboratory,109B,Yao L
HDFS,350,4 hours.,AB5,79722,2024-08-26Z,2024-12-11Z,Laboratory,08:00 AM,11:50 AM,M      ,Child Development Laboratory,109B,Yao L
HDFS,350,4 hours.,AL1,79723,2024-08-26Z,2024-12-11Z,Lecture,04:00 PM,05:50 PM,M      ,Christopher Hall,3,Yao L
HDFS,398,1 TO 3 hours.,A1 ,77362,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:50 PM,W      ,Christopher Hall,3,Patton K
HDFS,401,4 hours.,AL1,32407,2024-08-26Z,2024-12-11Z,Lecture,12:30 PM,01:50 PM,TR     ,Turner Hall,W109,Freeman Bost K
HDFS,405,3 hours.,A  ,66263,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,TR     ,Christopher Hall,7,Tu K
HDFS,408,3 OR 4 hours.,A  ,30326,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR     ,Christopher Hall,7,Hurth E
HDFS,424,2 TO 4 hours.,A  ,54750,2024-10-21Z,2024-12-11Z,Online,ARRANGED,,,,,Barnett B
HDFS,424,2 TO 4 hours.,B  ,64992,2024-10-21Z,2024-12-11Z,Online,ARRANGED,,,,,Barnett B
HDFS,425,4 hours.,AL1,32422,2024-08-26Z,2024-12-11Z,Lecture,01:00 PM,02:20 PM,MW     ,David Kinley Hall,123,
HDFS,450,1 TO 12 hours.,,10342,2024-08-26Z,2024-12-11Z,Independent Study,ARRANGED,,,,,
HDFS,450,1 TO 12 hours.,A  ,61067,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:00 PM,04:50 PM,W      ,Christopher Hall,3,Mitchell E
HDFS,494,1 TO 4 hours.,AMS,57754,2024-08-26Z,2024-12-11Z,Internship,ARRANGED,,,,,Shockley A
HDFS,500,1 hours.,B  ,79736,2024-08-26Z,2024-12-11Z,Lecture,09:00 AM,09:50 AM,F      ,Christopher Hall,3,Mitchell E
HDFS,500,1 hours.,P  ,49706,2024-08-26Z,2024-12-11Z,Lecture,09:00 AM,09:50 AM,F      ,Bevier Hall,144,Oswald R
HDFS,501,4 hours.,A  ,30329,2024-08-26Z,2024-12-11Z,Lecture,02:00 PM,04:50 PM,T      ,Expanded Child Dev Lab,206,Larson R
HDFS,533,4 hours.,A  ,66253,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,04:50 PM,W      ,Expanded Child Dev Lab,206,Lleras C
HDFS,581,4 hours.,A  ,77546,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,04:50 PM,T      ,Christopher Hall,3,Dariotis J
HDFS,590,4 hours.,A  ,66252,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,04:50 PM,R      ,Christopher Hall,3,Tu K
HDFS,595,1 TO 4 hours.,O  ,66257,2024-08-26Z,2024-12-11Z,Lecture-Discussion,ARRANGED,,,,,
